title,price,rating,in_stock,product_url,image_url,scraped_at
A Light in the Attic,£51.77,3/5,True,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,,2026-06-30T21:02:08.031770
Tipping the Velvet,£53.74,1/5,True,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,,2026-06-30T21:02:08.031770
Soumission,£50.10,1/5,True,http://books.toscrape.com/catalogue/soumission_998/index.html,,2026-06-30T21:02:08.032770
Sharp Objects,£47.82,4/5,True,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,,2026-06-30T21:02:08.032770
Sapiens: A Brief History of Humankind,£54.23,5/5,True,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,,2026-06-30T21:02:08.032770
The Requiem Red,£22.65,1/5,True,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,,2026-06-30T21:02:08.032770
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4/5,True,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,,2026-06-30T21:02:08.032770
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3/5,True,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,,2026-06-30T21:02:08.032770
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4/5,True,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,,2026-06-30T21:02:08.032770
The Black Maria,£52.15,1/5,True,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,,2026-06-30T21:02:08.032770
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2/5,True,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,,2026-06-30T21:02:08.032770
Shakespeare's Sonnets,£20.66,4/5,True,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,,2026-06-30T21:02:08.032770
Set Me Free,£17.46,5/5,True,http://books.toscrape.com/catalogue/set-me-free_988/index.html,,2026-06-30T21:02:08.033770
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5/5,True,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,,2026-06-30T21:02:08.033770
Rip it Up and Start Again,£35.02,5/5,True,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,,2026-06-30T21:02:08.033770
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3/5,True,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,,2026-06-30T21:02:08.034015
Olio,£23.88,1/5,True,http://books.toscrape.com/catalogue/olio_984/index.html,,2026-06-30T21:02:08.034015
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1/5,True,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,,2026-06-30T21:02:08.034015
Libertarianism for Beginners,£51.33,2/5,True,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,,2026-06-30T21:02:08.034015
It's Only the Himalayas,£45.17,2/5,True,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,,2026-06-30T21:02:08.034015
In Her Wake,£12.84,1/5,True,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,,2026-06-30T21:02:09.978431
How Music Works,£37.32,2/5,True,http://books.toscrape.com/catalogue/how-music-works_979/index.html,,2026-06-30T21:02:09.978431
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3/5,True,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,,2026-06-30T21:02:09.978431
Chase Me (Paris Nights #2),£25.27,5/5,True,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,,2026-06-30T21:02:09.978431
Black Dust,£34.53,5/5,True,http://books.toscrape.com/catalogue/black-dust_976/index.html,,2026-06-30T21:02:09.978975
Birdsong: A Story in Pictures,£54.64,3/5,True,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,,2026-06-30T21:02:09.978975
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3/5,True,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,,2026-06-30T21:02:09.978975
Aladdin and His Wonderful Lamp,£53.13,3/5,True,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,,2026-06-30T21:02:09.978975
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5/5,True,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,,2026-06-30T21:02:09.978975
Wall and Piece,£44.18,4/5,True,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,,2026-06-30T21:02:09.978975
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5/5,True,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,,2026-06-30T21:02:09.978975
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3/5,True,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,,2026-06-30T21:02:09.978975
The Elephant Tree,£23.82,5/5,True,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,,2026-06-30T21:02:09.978975
The Bear and the Piano,£36.89,1/5,True,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,,2026-06-30T21:02:09.978975
Sophie's World,£15.94,5/5,True,http://books.toscrape.com/catalogue/sophies-world_966/index.html,,2026-06-30T21:02:09.979974
Penny Maybe,£33.29,3/5,True,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,,2026-06-30T21:02:09.979974
Maude (1883-1993):She Grew Up with the country,£18.02,2/5,True,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,,2026-06-30T21:02:09.979974
"In a Dark, Dark Wood",£19.63,1/5,True,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,,2026-06-30T21:02:09.979974
Behind Closed Doors,£52.22,4/5,True,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,,2026-06-30T21:02:09.979974
You can't bury them all: Poems,£33.63,2/5,True,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,,2026-06-30T21:02:09.979974
Slow States of Collapse: Poems,£57.31,3/5,True,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,,2026-06-30T21:02:19.755832
Reasons to Stay Alive,£26.41,2/5,True,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,,2026-06-30T21:02:19.755832
Private Paris (Private #10),£47.61,5/5,True,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,,2026-06-30T21:02:19.755832
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5/5,True,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,,2026-06-30T21:02:19.756349
Without Borders (Wanderlove #1),£45.07,2/5,True,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,,2026-06-30T21:02:19.756349
When We Collided,£31.77,1/5,True,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,,2026-06-30T21:02:19.756349
"We Love You, Charlie Freeman",£50.27,5/5,True,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,,2026-06-30T21:02:19.756831
Untitled Collection: Sabbath Poems 2014,£14.27,4/5,True,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,,2026-06-30T21:02:19.756831
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4/5,True,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,,2026-06-30T21:02:19.756831
Unicorn Tracks,£18.78,3/5,True,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,,2026-06-30T21:02:19.756831
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1/5,True,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,,2026-06-30T21:02:19.756831
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1/5,True,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,,2026-06-30T21:02:19.756831
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3/5,True,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,,2026-06-30T21:02:19.756831
This One Summer,£19.49,4/5,True,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,,2026-06-30T21:02:19.756831
Thirst,£17.27,5/5,True,http://books.toscrape.com/catalogue/thirst_946/index.html,,2026-06-30T21:02:19.757832
The Torch Is Passed: A Harding Family Story,£19.09,1/5,True,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,,2026-06-30T21:02:19.758019
The Secret of Dreadwillow Carse,£56.13,1/5,True,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,,2026-06-30T21:02:19.758019
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1/5,True,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,,2026-06-30T21:02:19.758019
The Past Never Ends,£56.50,4/5,True,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,,2026-06-30T21:02:19.758019
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3/5,True,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,,2026-06-30T21:02:19.758019
